lst,ndvi,landcover,month_index,near_road,.geo
32.668260869565245,0.60313904,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.50513552908534,2.9060499441266523]}"
32.16034482758624,0.7488506,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.51411868192653,2.9060499441266523]}"
31.931034482758662,0.7584459,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.52310183476773,2.9060499441266523]}"
31.970000000000027,0.6679423,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.53208498760893,2.9060499441266523]}"
31.56617647058829,0.7524664,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.54106814045012,2.9060499441266523]}"
30.977816091954026,0.8165249,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.55005129329132,2.9060499441266523]}"
30.797234042553214,0.69943506,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.5590344461325,2.9060499441266523]}"
30.592123893805308,0.72900987,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.5680175989737,2.9060499441266523]}"
30.29492753623191,0.78247035,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.5770007518149,2.9060499441266523]}"
30.295142857142878,0.8544194,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.58598390465609,2.9060499441266523]}"
30.150000000000034,0.84705883,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.59496705749729,2.9060499441266523]}"
29.768133333333367,0.8440586,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.60395021033848,2.9060499441266523]}"
29.816241134751806,0.60162365,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.61293336317968,2.9060499441266523]}"
30.525666666666666,0.34484,30,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.62191651602087,2.9060499441266523]}"
32.62054545454549,0.14560582,60,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.63089966886207,2.9060499441266523]}"
33.57400000000007,0.46666667,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.63988282170327,2.9060499441266523]}"
33.52245283018868,0.34277344,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.64886597454446,2.9060499441266523]}"
33.34733333333338,0.5461774,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.65784912738566,2.9060499441266523]}"
33.02761194029853,0.5076014,80,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.66683228022686,2.9060499441266523]}"
32.66589041095892,0.5283714,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.67581543306804,2.9060499441266523]}"
32.61444444444447,0.40561074,50,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.68479858590923,2.9060499441266523]}"
32.31285714285718,0.73393315,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.69378173875043,2.9060499441266523]}"
32.09294117647062,0.54586893,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.70276489159163,2.9060499441266523]}"
32.67181818181825,0.46925566,50,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.71174804443282,2.9060499441266523]}"
32.72750000000002,0.67433834,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.72073119727402,2.9060499441266523]}"
32.25063492063492,0.6826446,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.72971435011522,2.9060499441266523]}"
31.92735294117648,0.79861736,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.73869750295641,2.9060499441266523]}"
31.34898734177216,0.5250335,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.74768065579761,2.9060499441266523]}"
32.053098591549315,0.46130502,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.7566638086388,2.9060499441266523]}"
32.901746031746086,0.4141122,50,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.76564696148,2.9060499441266523]}"
32.616760563380296,0.688808,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.7746301143212,2.9060499441266523]}"
32.37676056338029,0.640511,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.7836132671624,2.9060499441266523]}"
32.691818181818235,0.38417086,50,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.79259642000358,2.9060499441266523]}"
33.29692307692312,0.16950059,50,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.80157957284477,2.9060499441266523]}"
33.190000000000055,0.31969085,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.81056272568597,2.9060499441266523]}"
32.53350877192986,0.68747395,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.81954587852717,2.9060499441266523]}"
32.43103448275866,0.54691726,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.82852903136836,2.9060499441266523]}"
33.36439999999999,0.19871795,50,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.83751218420956,2.9060499441266523]}"
34.55594594594595,0.16002671,60,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.84649533705075,2.9060499441266523]}"
34.89285714285717,0.23228298,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.85547848989195,2.9060499441266523]}"
36.35640000000001,0.42090183,50,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.86446164273315,2.9060499441266523]}"
34.75607142857143,0.53745824,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.87344479557434,2.9060499441266523]}"
32.29675000000003,0.7671809,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.88242794841554,2.9060499441266523]}"
31.10260869565218,0.7914827,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.89141110125674,2.9060499441266523]}"
34.13666666666671,0.70526314,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.50513552908534,2.9150330969678473]}"
33.42681818181825,0.7383378,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.51411868192653,2.9150330969678473]}"
31.69711864406787,0.7801666,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.52310183476773,2.9150330969678473]}"
31.822580645161338,0.6975437,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.53208498760893,2.9150330969678473]}"
31.469701492537354,0.6541046,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.54106814045012,2.9150330969678473]}"
31.10458823529416,0.80700713,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.55005129329132,2.9150330969678473]}"
30.9172916666667,0.75488764,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.5590344461325,2.9150330969678473]}"
30.536415094339645,0.8035664,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.5680175989737,2.9150330969678473]}"
30.276406250000036,0.78655285,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.5770007518149,2.9150330969678473]}"
30.254360902255655,0.80262405,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.58598390465609,2.9150330969678473]}"
29.762554744525573,0.86245245,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.59496705749729,2.9150330969678473]}"
29.65263565891479,0.8340854,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.60395021033848,2.9150330969678473]}"
30.184137931034513,0.54772,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.61293336317968,2.9150330969678473]}"
30.907904761904774,0.22455752,30,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.62191651602087,2.9150330969678473]}"
32.20911764705886,0.17946324,50,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.63089966886207,2.9150330969678473]}"
33.92818181818183,0.36211032,50,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.63988282170327,2.9150330969678473]}"
34.33046511627913,0.3904354,50,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.64886597454446,2.9150330969678473]}"
34.5376190476191,0.3960452,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.65784912738566,2.9150330969678473]}"
33.842857142857156,0.44868216,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.66683228022686,2.9150330969678473]}"
33.044153846153904,0.33454546,80,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.67581543306804,2.9150330969678473]}"
33.16870967741937,0.3652828,50,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.68479858590923,2.9150330969678473]}"
32.79576271186443,0.52384245,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.69378173875043,2.9150330969678473]}"
32.47689655172417,0.61316633,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.70276489159163,2.9150330969678473]}"
32.940188679245296,0.516759,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.71174804443282,2.9150330969678473]}"
32.695483870967735,0.5896716,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.72073119727402,2.9150330969678473]}"
32.23562500000003,0.5628086,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.72971435011522,2.9150330969678473]}"
32.33526315789476,0.39791122,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.73869750295641,2.9150330969678473]}"
32.12133333333338,0.6104105,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.74768065579761,2.9150330969678473]}"
32.311269841269905,0.5302013,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.7566638086388,2.9150330969678473]}"
31.897777777777776,0.6973599,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.76564696148,2.9150330969678473]}"
31.316027397260314,0.6804442,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.7746301143212,2.9150330969678473]}"
30.91540540540541,0.79671675,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.7836132671624,2.9150330969678473]}"
31.230277777777815,0.7904823,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.79259642000358,2.9150330969678473]}"
31.989615384615433,0.23738725,60,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.80157957284477,2.9150330969678473]}"
32.9964705882353,0.5328404,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.81056272568597,2.9150330969678473]}"
32.89086956521743,0.2562662,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.81954587852717,2.9150330969678473]}"
33.25285714285718,0.47623587,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.82852903136836,2.9150330969678473]}"
33.92787234042555,0.6465306,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.83751218420956,2.9150330969678473]}"
34.61093023255813,0.6008683,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.84649533705075,2.9150330969678473]}"
34.70714285714291,0.5842637,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.85547848989195,2.9150330969678473]}"
35.748636363636365,0.44364768,50,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.86446164273315,2.9150330969678473]}"
35.88583333333332,0.53145736,50,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.87344479557434,2.9150330969678473]}"
32.416842105263186,0.39748174,50,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.88242794841554,2.9150330969678473]}"
31.136590909090955,0.6199058,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.89141110125674,2.9150330969678473]}"
35.234137931034525,0.61642265,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.50513552908534,2.9240162498090427]}"
34.41571428571433,0.49151614,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.51411868192653,2.9240162498090427]}"
33.08348837209303,0.81640625,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.52310183476773,2.9240162498090427]}"
31.981063829787274,0.352,60,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.53208498760893,2.9240162498090427]}"
31.77063492063496,0.09832751,60,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.54106814045012,2.9240162498090427]}"
31.560909090909092,0.6319913,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.55005129329132,2.9240162498090427]}"
31.099555555555582,0.7221578,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.5590344461325,2.9240162498090427]}"
30.624018691588844,0.7224935,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.5680175989737,2.9240162498090427]}"
30.4534188034188,0.7308196,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.5770007518149,2.9240162498090427]}"
30.213492063492083,0.82411766,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.58598390465609,2.9240162498090427]}"
29.600625000000036,0.8606995,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.59496705749729,2.9240162498090427]}"
29.515846153846155,0.7103825,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.60395021033848,2.9240162498090427]}"
30.257642276422814,0.70092344,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.61293336317968,2.9240162498090427]}"
31.129824561403552,0.47621432,30,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.62191651602087,2.9240162498090427]}"
32.455416666666736,0.3844475,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.63089966886207,2.9240162498090427]}"
33.395373134328395,0.41232494,50,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.63988282170327,2.9240162498090427]}"
34.07535714285717,0.500466,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.64886597454446,2.9240162498090427]}"
34.85930232558144,0.37378362,50,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.65784912738566,2.9240162498090427]}"
34.58909090909094,0.43363383,50,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.66683228022686,2.9240162498090427]}"
33.81470588235294,0.3873098,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.67581543306804,2.9240162498090427]}"
33.58960000000002,0.27861446,50,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.68479858590923,2.9240162498090427]}"
33.73000000000002,0.4708309,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.69378173875043,2.9240162498090427]}"
33.36125000000004,0.471864,50,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.70276489159163,2.9240162498090427]}"
32.55727272727273,0.63178736,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.71174804443282,2.9240162498090427]}"
32.00206349206354,0.4886697,30,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.72073119727402,2.9240162498090427]}"
31.690937500000018,0.40101522,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.72971435011522,2.9240162498090427]}"
32.088965517241434,0.54835284,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.73869750295641,2.9240162498090427]}"
32.32272727272732,0.56158435,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.74768065579761,2.9240162498090427]}"
32.77777777777783,0.4068888,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.7566638086388,2.9240162498090427]}"
33.28403508771936,0.54318506,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.76564696148,2.9240162498090427]}"
32.21575757575761,0.5640874,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.7746301143212,2.9240162498090427]}"
31.914848484848505,0.6287856,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.7836132671624,2.9240162498090427]}"
31.989375000000052,0.636255,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.79259642000358,2.9240162498090427]}"
32.7732727272728,0.2253358,30,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.80157957284477,2.9240162498090427]}"
33.89526315789476,0.15034744,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.81056272568597,2.9240162498090427]}"
33.887948717948746,0.2510592,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.81954587852717,2.9240162498090427]}"
34.220500000000015,0.5806677,50,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.82852903136836,2.9240162498090427]}"
34.64900000000006,0.3150507,50,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.83751218420956,2.9240162498090427]}"
34.77478260869566,0.31515065,50,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.84649533705075,2.9240162498090427]}"
35.44346938775516,0.38022098,50,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.85547848989195,2.9240162498090427]}"
36.058085106382975,0.33774462,50,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.86446164273315,2.9240162498090427]}"
35.75000000000006,0.60505486,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.87344479557434,2.9240162498090427]}"
33.48898305084748,0.8061633,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.88242794841554,2.9240162498090427]}"
31.558055555555597,0.48965517,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.89141110125674,2.9240162498090427]}"
34.80939393939394,0.48162916,10,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.50513552908534,2.9329994026502377]}"
35.13666666666671,0.45411888,50,6,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.51411868192653,2.9329994026502377]}"
